course_id,course_name,prerequisites,course_type,category,credits,track,is_compulsory,CourseCode,fail_rate,average_grade
CSCI475,Embedded Real-Time Systems ,CSCI207,elective,Computer Science,3.0,General,False,CSCI,0.0,2.954325044803695
CSCI479,Selected topics in computer science,,elective,Computer Science,3.0,General,False,CSCI,0.0778443113772455,2.981437125748503
CSCI451,Digital image processing,CSCI304,elective,Computer Science,3.0,Media_Informatics,True,CSCI,0.0681818181818181,2.6755681818181816
CSCI452,3D computer graphics and visualization,CSCI304,elective,Computer Science,3.0,Media_Informatics,True,CSCI,0.0,3.446315789473684
CSCI455,Computer vision and systems ,"""CSCI417, CSCI451, CSCI452 """,elective,Computer Science,3.0,Media_Informatics,False,CSCI,0.1875,2.1875
CSCI456,Interactive multimedia systems,"""CSCI451, CSCI452""",elective,Computer Science,3.0,Media_Informatics,False,CSCI,0.0,2.954325044803695
CSCI457,Mixed and augmented reality,"""CSCI452, CSCI456""",elective,Computer Science,3.0,Media_Informatics,False,CSCI,0.0,3.135294117647059
CSCI458,Serious computer games,"""CSCI451, CSCI452""",elective,Computer Science,3.0,Media_Informatics,False,CSCI,0.0,2.954325044803695
CSCI459,Selected topics in media informatics,,elective,Computer Science,3.0,Media_Informatics,False,CSCI,0.0,2.954325044803695
CSCI461,Introduction to big data,CSCI304,elective,Computer Science,3.0,Big_Data,True,CSCI,0.0107334525939177,3.215742397137746
CSCI467,Data mining and analytics,"""MATH301, CSCI417""",elective,Computer Science,3.0,Big_Data,True,CSCI,0.0149253731343283,3.094029850746269
CSCI464,Numerical methods&math precision,CSCI207,elective,Computer Science,3.0,Big_Data,False,CSCI,0.0,2.954325044803695
CSCI465,Introduction to parallel computing,CSCI207,elective,Computer Science,3.0,Big_Data,False,CSCI,0.0,3.383625730994152
CSCI462,Computational intelligence,CSCI417,elective,Computer Science,3.0,Big_Data,False,CSCI,0.027027027027027,2.55945945945946
CSCI469,Selected topics in big data and data science,,elective,Computer Science,3.0,Big_Data,False,CSCI,0.0,3.4567567567567568
