Course ID,CourseCode,CREDIT,fail_rate,average_grade
CSCI482,CSCI,3.0,0.0,3.4380952380952383
CSCI495,CSCI,2.0,0.0,3.8301587301587303
CSCI496,CSCI,3.0,0.0,3.9187499999999997
ECEN101C,ECEN,3.0,0.10414657666345227,2.5567020250723242
ECEN203,ECEN,3.0,0.0,3.3
ECEN204,ECEN,3.0,0.0,1.7
ECEN401,ECEN,3.0,0.0,2.0
ECEN402,ECEN,3.0,0.0,1.0
ECEN425,ECEN,3.0,0.0,1.0
ECON201,OTHER,3.0,0.0,2.9
ECON202,OTHER,3.0,0.0,2.3
ENGL001,ENGL,0.0,0.23728813559322035,3.0508474576271185
ENGL001A,ENGL,0.0,0.1836734693877551,3.2653061224489797
ENGL002,ENGL,0.0,0.13793103448275862,3.4482758620689653
ENGL003,ENGL,0.0,0.375,2.5
ENGL101,ENGL,3.0,0.15883306320907617,3.364667747163695
ENGL102,ENGL,3.0,0.08169934640522876,2.7255718954248365
ENGL201,ENGL,3.0,0.0354066985645933,3.1256459330143542
ENGL202,ENGL,3.0,0.0085995085995086,3.589066339066339
ENGR002,OTHER,3.0,0.0,3.0
ENTR301,OTHER,3.0,0.0,3.3
HUM103,OTHER,3.0,0.0,2.7
HUMA001,HUMA,2.0,0.07894736842105263,3.6447368421052633
HUMA001/101,HUMA,2.0,0.02554278416347382,3.783269476372925
HUMA002,HUMA,2.0,0.045454545454545456,3.1
HUMA003,HUMA,2.0,0.0,2.0
HUMA010,HUMA,1.0,0.0,4.0
HUMA101,HUMA,2.0,0.0,3.99375
HUMA102,HUMA,1.0,0.016233766233766232,3.6444805194805197
IENG344,OTHER,3.0,1.0,0.0
MATH001,MATH,3.0,1.0,0.0
MATH002,MATH,3.0,0.0,2.3
MATH100,MATH,0.0,0.14684466019417475,3.412621359223301
MATH111,MATH,4.0,0.18508092892329345,2.049683321604504
MATH111i,MATH,3.0,0.25806451612903225,2.096774193548387
MATH112,MATH,4.0,0.1456953642384106,2.149337748344371
MATH112i,MATH,3.0,0.09090909090909091,2.8454545454545457
MATH201,MATH,3.0,0.14547038327526132,2.290243902439024
MATH203,MATH,4.0,0.1365149833518313,2.2533851276359598
MATH203i,MATH,3.0,0.3333333333333333,2.6666666666666665
MATH205,MATH,3.0,0.6666666666666666,0.3333333333333333
MATH210,MATH,3.0,0.08722358722358722,2.582678132678133
MATH211,MATH,3.0,0.10860121633362294,2.6493483927019983
MATH301,MATH,3.0,0.0782122905027933,2.566201117318436
MATH301i,MATH,3.0,0.2,2.0
MATH303,MATH,3.0,0.0,3.85
MENG101,OTHER,2.0,0.0,2.3
MENG202,OTHER,3.0,0.0,1.0
MENG203,OTHER,3.0,1.0,0.0
MGMT201,OTHER,3.0,0.0,3.3333333333333335
MGMT303,OTHER,3.0,0.0,3.7
MKTG301,OTHER,3.0,1.0,0.0
MOT601,OTHER,3.0,0.0,3.0
MOT603,OTHER,3.0,0.0,3.35
MOT611,OTHER,3.0,0.0,4.0
NSCI102,NSCI,3.0,0.027597402597402596,3.590584415584416
NSCI103,NSCI,3.0,0.125,2.875
OPMG302,OTHER,3.0,0.0,2.0
PHYS002,PHYS,4.0,0.0,3.3
PHYS101C,PHYS,4.0,0.18257839721254354,2.1129616724738676
PSCI201,PSCI,3.0,0.004878048780487805,3.8317073170731706
PSYC201,PHYS,3.0,0.0,3.177777777777778
SPAN101,OTHER,3.0,0.0,3.6295454545454544
SSCI001,SSCI,2.0,0.0,3.8818181818181823
SSCI002,SSCI,2.0,0.0,3.0
SSCI101,SSCI,3.0,0.01568627450980392,3.636470588235294
SSCI102,SSCI,3.0,0.004310344827586207,3.790948275862069
SSCI103,SSCI,3.0,0.07547169811320754,3.2415094339622645
SSCI104,SSCI,3.0,0.0,3.926262626262626
SSCI201,SSCI,2.0,0.09090909090909091,3.4
SSCI301,SSCI,3.0,0.011644832605531296,3.2890829694323145
